"Geographic code","Geographic name","Global non-response rate","Data quality flag","Income source","Sex","Total population 15 years and over - 2006","Total population 15 years and over - 2016","Number of income recipients - 2005","Number of income recipients - 2015","Median amount (2015 constant dollars) - 2005","Median amount (2015 constant dollars) - 2015","Median amount (2015 constant dollars) - % change"
"01","Canada",4.0,"20000","Total income","Both sexes",25511875,28642980,24340040,27488530,30359,34204,12.7
"01","Canada",4.0,"20000","Total income","Males",12395135,13990620,11901645,13444340,38207,40782,6.7
"01","Canada",4.0,"20000","Total income","Females",13116740,14652355,12438395,14044190,24230,28860,19.1
"01","Canada",4.0,"20000","After-tax income","Both sexes",25511875,28642980,24335535,27499185,27616,30866,11.8
"01","Canada",4.0,"20000","After-tax income","Males",12395135,13990620,11898260,13449005,33537,35933,7.1
"01","Canada",4.0,"20000","After-tax income","Females",13116740,14652355,12437270,14050180,22840,26621,16.6
"01","Canada",4.0,"20000","Employment income","Both sexes",25511875,28642980,18155330,20428685,31798,33684,5.9
"01","Canada",4.0,"20000","Employment income","Males",12395135,13990620,9449530,10547765,38972,39836,2.2
"01","Canada",4.0,"20000","Employment income","Females",13116740,14652355,8705800,9880925,25507,28474,11.6
"10","Newfoundland and Labrador",4.0,"00000","Total income","Both sexes",420895,437940,396790,422335,23168,31754,37.1
"10","Newfoundland and Labrador",4.0,"00000","Total income","Males",203195,212785,193445,205910,30690,40880,33.2
"10","Newfoundland and Labrador",4.0,"00000","Total income","Females",217700,225155,203345,216420,18720,25314,35.2
"10","Newfoundland and Labrador",4.0,"00000","After-tax income","Both sexes",420895,437940,396845,422475,21480,28883,34.5
"10","Newfoundland and Labrador",4.0,"00000","After-tax income","Males",203195,212785,193420,205925,27103,36040,33.0
"10","Newfoundland and Labrador",4.0,"00000","After-tax income","Females",217700,225155,203425,216550,17974,23623,31.4
"10","Newfoundland and Labrador",4.0,"00000","Employment income","Both sexes",420895,437940,270725,299155,21409,31528,47.3
"10","Newfoundland and Labrador",4.0,"00000","Employment income","Males",203195,212785,141390,154695,27385,41659,52.1
"10","Newfoundland and Labrador",4.0,"00000","Employment income","Females",217700,225155,129335,144455,16991,24445,43.9
"11","Prince Edward Island",4.1,"00000","Total income","Both sexes",109345,117055,105890,113480,26512,31744,19.7
"11","Prince Edward Island",4.1,"00000","Total income","Males",52395,56365,50990,54635,31541,36021,14.2
"11","Prince Edward Island",4.1,"00000","Total income","Females",56950,60690,54905,58840,22515,28065,24.7
"11","Prince Edward Island",4.1,"00000","After-tax income","Both sexes",109345,117055,105880,113500,23921,28298,18.3
"11","Prince Edward Island",4.1,"00000","After-tax income","Males",52395,56365,50975,54640,27496,31453,14.4
"11","Prince Edward Island",4.1,"00000","After-tax income","Females",56950,60690,54910,58860,21034,25484,21.2
"11","Prince Edward Island",4.1,"00000","Employment income","Both sexes",109345,117055,80350,86035,23070,26851,16.4
"11","Prince Edward Island",4.1,"00000","Employment income","Males",52395,56365,40645,43395,25801,29875,15.8
"11","Prince Edward Island",4.1,"00000","Employment income","Females",56950,60690,39700,42640,20207,24280,20.2
"12","Nova Scotia",3.9,"00000","Total income","Both sexes",753420,774750,716165,744265,27003,31813,17.8
"12","Nova Scotia",3.9,"00000","Total income","Males",359600,372455,344460,358060,35010,38379,9.6
"12","Nova Scotia",3.9,"00000","Total income","Females",393815,402295,371705,386205,21366,26750,25.2
"12","Nova Scotia",3.9,"00000","After-tax income","Both sexes",753420,774750,716150,744545,24594,28627,16.4
"12","Nova Scotia",3.9,"00000","After-tax income","Males",359600,372455,344415,358090,30709,33642,9.6
"12","Nova Scotia",3.9,"00000","After-tax income","Females",393815,402295,371735,386455,20262,24590,21.4
"12","Nova Scotia",3.9,"00000","Employment income","Both sexes",753420,774750,506915,523015,26740,29979,12.1
"12","Nova Scotia",3.9,"00000","Employment income","Males",359600,372455,259970,264370,33357,35676,7.0
"12","Nova Scotia",3.9,"00000","Employment income","Females",393815,402295,246950,258645,21308,25405,19.2
"13","New Brunswick",3.9,"00000","Total income","Both sexes",598695,620395,571710,594710,26066,30961,18.8
"13","New Brunswick",3.9,"00000","Total income","Males",288865,301645,278110,289220,33214,37516,13.0
"13","New Brunswick",3.9,"00000","Total income","Females",309835,318750,293600,305485,20823,25796,23.9
"13","New Brunswick",3.9,"00000","After-tax income","Both sexes",598695,620395,571725,594920,23763,28107,18.3
"13","New Brunswick",3.9,"00000","After-tax income","Males",288865,301645,278070,289240,29297,33169,13.2
"13","New Brunswick",3.9,"00000","After-tax income","Females",309835,318750,293655,305680,19803,23945,20.9
"13","New Brunswick",3.9,"00000","Employment income","Both sexes",598695,620395,407880,423915,25497,29124,14.2
"13","New Brunswick",3.9,"00000","Employment income","Males",288865,301645,212420,219140,31627,34784,10.0
"13","New Brunswick",3.9,"00000","Employment income","Females",309835,318750,195465,204780,20537,24769,20.6
"24","Quebec",3.7,"20000","Total income","Both sexes",6145665,6634295,5853255,6417615,28978,32975,13.8
"24","Quebec",3.7,"20000","Total income","Males",2990700,3260155,2872480,3160600,35652,37842,6.1
"24","Quebec",3.7,"20000","Total income","Females",3154965,3374145,2980770,3257015,23508,28522,21.3
"24","Quebec",3.7,"20000","After-tax income","Both sexes",6145665,6634295,5852920,6419175,26640,29535,10.9
"24","Quebec",3.7,"20000","After-tax income","Males",2990700,3260155,2872080,3160780,31173,33110,6.2
"24","Quebec",3.7,"20000","After-tax income","Females",3154965,3374145,2980840,3258395,22458,26119,16.3
"24","Quebec",3.7,"20000","Employment income","Both sexes",6145665,6634295,4217435,4627790,30149,31263,3.7
"24","Quebec",3.7,"20000","Employment income","Males",2990700,3260155,2216300,2408420,35767,35627,-0.4
"24","Quebec",3.7,"20000","Employment income","Females",3154965,3374145,2001135,2219370,24776,27219,9.9
"35","Ontario",3.7,"20000","Total income","Both sexes",9773340,11038440,9312465,10556935,32305,33539,3.8
"35","Ontario",3.7,"20000","Total income","Males",4720660,5342850,4522685,5115460,40872,39889,-2.4
"35","Ontario",3.7,"20000","Total income","Females",5052680,5695590,4789780,5441475,25662,28676,11.7
"35","Ontario",3.7,"20000","After-tax income","Both sexes",9773340,11038440,9310535,10559805,29154,30641,5.1
"35","Ontario",3.7,"20000","After-tax income","Males",4720660,5342850,4521350,5115825,35782,35753,-0.1
"35","Ontario",3.7,"20000","After-tax income","Females",5052680,5695590,4789180,5443980,23917,26585,11.2
"35","Ontario",3.7,"20000","Employment income","Both sexes",9773340,11038440,6975065,7790680,34748,33946,-2.3
"35","Ontario",3.7,"20000","Employment income","Males",4720660,5342850,3610070,3998330,42322,39490,-6.7
"35","Ontario",3.7,"20000","Employment income","Females",5052680,5695590,3364995,3792350,28122,29413,4.6
"46","Manitoba",4.3,"00000","Total income","Both sexes",897755,1001305,861910,954040,28686,34188,19.2
"46","Manitoba",4.3,"00000","Total income","Males",435535,491590,418960,467790,35451,40379,13.9
"46","Manitoba",4.3,"00000","Total income","Females",462215,509720,442955,486245,23891,29220,22.3
"46","Manitoba",4.3,"00000","After-tax income","Both sexes",897755,1001305,861830,954205,25839,30465,17.9
"46","Manitoba",4.3,"00000","After-tax income","Males",435535,491590,418920,467820,30903,35150,13.7
"46","Manitoba",4.3,"00000","After-tax income","Females",462215,509720,442910,486385,22234,26561,19.5
"46","Manitoba",4.3,"00000","Employment income","Both sexes",897755,1001305,648430,722785,28994,33677,16.2
"46","Manitoba",4.3,"00000","Employment income","Males",435535,491590,336205,374845,34919,39365,12.7
"46","Manitoba",4.3,"00000","Employment income","Females",462215,509720,312225,347940,24030,28679,19.3
"47","Saskatchewan",4.8,"00000","Total income","Both sexes",760270,857270,727695,822620,28122,38299,36.2
